Tauu_x,Tauu_y,Tauu_z,Fu
-0.220721,0.221155,0.000248323,13.163
-0.00299392,0.00306551,2.82252e-05,12.6656
-0.00310078,0.00327747,6.75125e-05,12.156
-0.00310068,0.00326909,6.41128e-05,11.6489
-0.00297269,0.00305758,3.27954e-05,11.1551
-0.00270091,0.0026568,-1.51964e-05,10.682
-0.00227169,0.00207586,-7.15271e-05,10.2343
-0.00167744,0.00132426,-0.000130136,9.8147
-0.000915641,0.000412236,-0.00018675,9.4244
1.18921e-05,-0.000648452,-0.000238406,9.06327
0.00109545,-0.00184203,-0.000283254,8.73035
0.00232038,-0.00314916,-0.000320088,8.42407
0.00366741,-0.00454771,-0.000348246,8.1425
0.00511301,-0.00601331,-0.000367427,7.88346
0.00663086,-0.00751962,-0.000377587,7.64474
0.008195,-0.00904127,-0.00037875,7.42413
0.00977638,-0.0105513,-0.000371117,7.21954
0.0113506,-0.0120273,-0.000354951,7.02902
0.0128923,-0.0134466,-0.000330545,6.85083
0.0143807,-0.0147913,-0.000298307,6.68342
0.0157959,-0.0160454,-0.000258631,6.52545
0.0171226,-0.0171962,-0.000212006,6.37579
0.0183466,-0.0182332,-0.00015912,6.23352
0.019458,-0.0191506,-0.000100468,6.09787
0.0204468,-0.0199411,-3.69049e-05,5.96826
0.0213071,-0.0206028,3.07819e-05,5.84422
0.0220331,-0.0211325,0.000101606,5.72542
0.0226205,-0.0215299,0.000174563,5.61163
0.0230667,-0.0217946,0.000248575,5.50267
0.0233689,-0.0219274,0.000322465,5.39845
0.0235257,-0.021929,0.000394986,5.2989
0.0235375,-0.0218017,0.000464723,5.20397
0.0234031,-0.0215478,0.000530675,5.11363
0.0231242,-0.0211695,0.000591289,5.02784
0.0227029,-0.0206718,0.000645641,4.94655
0.0221427,-0.0200583,0.000692311,4.86967
0.0214475,-0.0193351,0.000730481,4.79712
0.0206225,-0.0185082,0.00075927,4.72873
0.0196747,-0.0175845,0.000777772,4.66436
0.0186138,-0.0165754,0.000785802,4.60377
0.0174478,-0.015488,0.000782678,4.54674
0.0161874,-0.0143374,0.000769492,4.49299
0.0148388,-0.0131146,0.000742059,4.44221
0.0134267,-0.0118631,0.000706166,4.39409
0.0119521,-0.0105741,0.000659399,4.34829
0.0104273,-0.00925946,0.000602431,4.30446
0.00886926,-0.0079346,0.000535788,4.26226
0.00728708,-0.00660814,0.000460396,4.22134
0.00569252,-0.00528959,0.000376909,4.18136
0.00409531,-0.00398713,0.000286239,4.14203
0.00250448,-0.00270809,0.000189332,4.10303
0.000928145,-0.00145753,8.70074e-05,4.0641
-0.000626727,-0.000240354,-1.96749e-05,4.02501
-0.00215408,0.000940407,-0.00012975,3.98554
-0.00364904,0.00208316,-0.000242185,3.94553
-0.00510819,0.00318772,-0.000355844,3.90484
-0.00652796,0.00425384,-0.000469567,3.86338
-0.00790733,0.00528425,-0.000582129,3.82108
-0.00924305,0.00628018,-0.000692318,3.77792
-0.0105359,0.00724504,-0.00079874,3.7339
-0.011783,0.00818184,-0.000900103,3.68906
-0.0129844,0.00909385,-0.000995008,3.64348
-0.0141401,0.00998541,-0.001082,3.59726
-0.0152466,0.0108581,-0.0011598,3.55051
-0.0163037,0.011715,-0.00122699,3.50341
-0.0173087,0.0125571,-0.00128242,3.4561
-0.0182587,0.0133865,-0.00132493,3.4088
-0.0191477,0.0142002,-0.00135365,3.3617
-0.0199729,0.0149977,-0.00136788,3.31503
-0.0207264,0.0157747,-0.0013672,3.269
-0.0214022,0.0165264,-0.00135148,3.22386
-0.0219917,0.0172456,-0.00132101,3.17985
-0.0224875,0.0179251,-0.00127634,3.13721
-0.0228788,0.0185537,-0.00121833,3.09616
-0.0231581,0.0191227,-0.0011484,3.05694
-0.0233155,0.0196198,-0.00106799,3.01976
-0.0233425,0.0200331,-0.000978989,2.98483
-0.0232331,0.0203522,-0.000883591,2.95231
-0.0229789,0.0205647,-0.000783569,2.92238
-0.0225777,0.0206615,-0.000681569,2.89516
-0.0220262,0.0206345,-0.000579125,2.87076
-0.0213252,0.020477,-0.000478683,2.84925
-0.0204762,0.0201844,-0.000381664,2.83067
-0.0194846,0.0197543,-0.000289891,2.81502
-0.0183588,0.0191888,-0.000204247,2.80227
-0.017107,0.0184902,-0.00012557,2.79235
-0.0157417,0.0176646,-5.4286e-05,2.78516
-0.0142775,0.0167206,9.26742e-06,2.78058
-0.0127289,0.0156687,6.54891e-05,2.77845
-0.0111127,0.0145209,0.000114658,2.77859
-0.00944573,0.0132908,0.000157477,2.78078
-0.00774484,0.0119925,0.000194613,2.78483
-0.0060281,0.0106419,0.000227101,2.7905
-0.00431065,0.00925199,0.000255418,2.79756
-0.0026102,0.00784109,0.000281041,2.80578
-0.000938877,0.00641919,0.000304254,2.81493
0.000688913,0.0050013,0.00032606,2.82478
0.00226103,0.00359922,0.000346907,2.83513
0.00376877,0.00222508,0.000368274,2.84577
0.00519641,0.000884441,0.000387444,2.85654
0.00654355,-0.000407401,0.000408808,2.86726
0.00780339,-0.00164902,0.000430907,2.8778
0.00896783,-0.00283362,0.000453203,2.88805
0.0100316,-0.0039546,0.000475772,2.8979
0.0109957,-0.00501088,0.000499113,2.90729
0.0118542,-0.00599749,0.000522403,2.91616
0.0126085,-0.00691422,0.000545796,2.92449
0.0132564,-0.00775879,0.000568743,2.93226
0.0137979,-0.00853064,0.000590857,2.93947
0.014234,-0.00922941,0.000611836,2.94616
0.0145652,-0.00985453,0.000631138,2.95235
0.0147932,-0.0104073,0.000648296,2.9581
0.0149205,-0.0108882,0.000662927,2.96347
0.0149489,-0.0112974,0.000674469,2.96851
0.0148804,-0.0116351,0.000682398,2.97332
0.0147198,-0.011904,0.000686394,2.97796
0.0144692,-0.0121036,0.000685917,2.98252
0.0141333,-0.0122354,0.000680661,2.98706
0.013716,-0.012301,0.000670264,2.99168
0.0132221,-0.0123012,0.000654467,2.99645
0.0126574,-0.0122392,0.000633162,3.00142
0.0120264,-0.0121144,0.000606167,3.00667
0.0113357,-0.0119308,0.000573543,3.01226
0.0105917,-0.0116914,0.000535426,3.01822
0.00979987,-0.0113958,0.000491908,3.0246
0.00896899,-0.0110529,0.000443506,3.03143
0.00810447,-0.0106592,0.000390384,3.03873
0.00721439,-0.0102224,0.000333178,3.04651
0.00630578,-0.00974765,0.000272497,3.05478
0.00538626,-0.00923663,0.000208875,3.06353
0.00446294,-0.00869254,0.000143004,3.07275
0.00354254,-0.00812528,7.57779e-05,3.08243
0.00263238,-0.00753602,7.8358e-06,3.09254
0.00174015,-0.00692737,-6.01095e-05,3.10305
0.000870335,-0.00630917,-0.000127108,3.11392
2.89927e-05,-0.0056843,-0.000192474,3.12513
-0.000775588,-0.00505478,-0.000255592,3.13663
-0.00154488,-0.00443041,-0.000315498,3.14839
-0.00226499,-0.00380941,-0.000371949,3.16035
-0.00294088,-0.00320053,-0.000424001,3.17248
-0.00356602,-0.00260499,-0.000471286,3.18474
-0.00413738,-0.00202634,-0.00051337,3.19709
-0.00465025,-0.00146837,-0.000549971,3.20949
-0.00510865,-0.000933002,-0.000580586,3.2219
-0.00550788,-0.000422654,-0.000605146,3.2343
-0.00584777,6.08237e-05,-0.000623484,3.24665
-0.00612985,0.00051613,-0.000635492,3.25893
-0.00635257,0.000941256,-0.000641277,3.27111
-0.00651768,0.00133606,-0.000640868,3.28316
-0.00662762,0.00170056,-0.000634354,3.29507
-0.00668352,0.00203429,-0.000621993,3.30683
-0.00668545,0.00233608,-0.000604159,3.31842
-0.00663828,0.0026075,-0.000581048,3.32982
-0.00654451,0.00284944,-0.000553032,3.34104
-0.00640626,0.00306252,-0.000520528,3.35205
-0.00622592,0.00324584,-0.00048413,3.36287
-0.00600903,0.00340366,-0.000444053,3.37347
-0.00575614,0.00353376,-0.000401059,3.38388
-0.00547341,0.00364063,-0.00035541,3.39407
-0.00516196,0.00372257,-0.000307854,3.40406
-0.00482772,0.00378446,-0.000258621,3.41384
-0.00447261,0.00382463,-0.000208487,3.42343
-0.00410112,0.00384645,-0.000157779,3.43282
-0.00371662,0.00385093,-0.000107007,3.44201
-0.00332212,0.00383883,-5.66804e-05,3.45102
-0.00292189,0.00381264,-7.13635e-06,3.45984
-0.00251813,0.00377238,4.11426e-05,3.46848
-0.00211561,0.00372225,8.79835e-05,3.47694
-0.00171597,0.00366046,0.000132853,3.48524
-0.00132219,0.00358935,0.000175569,3.49338
-0.000937401,0.00350995,0.000215855,3.50135
-0.000563799,0.00342314,0.000253513,3.50918
-0.000204257,0.00333168,0.00028847,3.51686
0.00013954,0.00323507,0.00032051,3.5244
0.000466011,0.00313293,0.00034947,3.53181
0.000773259,0.00302761,0.000375399,3.53909
0.00106011,0.00291833,0.000398188,3.54624
0.0013247,0.00280838,0.000417961,3.55328
0.00156644,0.00269673,0.000434671,3.5602
0.00178466,0.00258325,0.000448344,3.56701
