dt,xi_x,xi_y,xi_z,dot_xi_x,dot_xi_y,dot_xi_z
0.01,0,0,0,0,0,0
0.01,0.14162,-0.1419,-0.000160139,14.162,-14.19,-0.0160139
0.01,0.171107,-0.17144,-0.000195686,2.94864,-2.95403,-0.00355472
0.01,0.177944,-0.178286,-0.000206672,0.683682,-0.684618,-0.00109856
0.01,0.179664,-0.180006,-0.000211889,0.172044,-0.171995,-0.000521737
0.01,0.179767,-0.180106,-0.000215068,0.0103337,-0.00999709,-0.000317908
0.01,0.178947,-0.179281,-0.000216916,-0.0820096,0.0825003,-0.000184767
0.01,0.177338,-0.177666,-0.000217579,-0.160926,0.161522,-6.63299e-05
0.01,0.174964,-0.175285,-0.00021706,-0.237374,0.238088,5.19052e-05
0.01,0.171831,-0.172143,-0.000215347,-0.313371,0.314186,0.000171353
0.01,0.16794,-0.168243,-0.000212443,-0.389059,0.389966,0.00029032
0.01,0.163298,-0.163591,-0.000208344,-0.464191,0.465198,0.000409975
0.01,0.157913,-0.158196,-0.00020306,-0.538481,0.539575,0.000528402
0.01,0.151798,-0.152068,-0.000196604,-0.611575,0.612749,0.000645531
0.01,0.144967,-0.145225,-0.000189002,-0.683068,0.684338,0.000760214
0.01,0.137441,-0.137685,-0.000180295,-0.75261,0.753952,0.000870661
0.01,0.129243,-0.129473,-0.000170523,-0.81978,0.82119,0.000977291
0.01,0.120401,-0.120617,-0.000159731,-0.884157,0.885655,0.00107916
0.01,0.110948,-0.111147,-0.000147986,-0.945378,0.946943,0.0011745
0.01,0.100917,-0.101101,-0.000135349,-1.00303,1.00466,0.00126366
0.01,0.0903503,-0.0905168,-0.0001219,-1.05671,1.0584,0.00134491
0.01,0.0792895,-0.0794383,-0.000107734,-1.10608,1.10785,0.00141666
0.01,0.067782,-0.0679126,-9.29378e-05,-1.15074,1.15257,0.00147959
0.01,0.0558779,-0.0559896,-7.75894e-05,-1.19042,1.1923,0.00153484
0.01,0.04363,-0.0437225,-6.17993e-05,-1.22479,1.22672,0.00157901
0.01,0.031094,-0.0311667,-4.56823e-05,-1.2536,1.25558,0.0016117
0.01,0.0183278,-0.0183802,-2.93334e-05,-1.27661,1.27865,0.00163489
0.01,0.00539118,-0.00542279,-1.28547e-05,-1.29367,1.29574,0.00164787
0.01,-0.00765437,0.00764392,3.6229e-06,-1.30455,1.30667,0.00164776
0.01,-0.020747,0.0207579,2.00298e-05,-1.30926,1.3114,0.00164069
0.01,-0.0338237,0.0338565,3.61979e-05,-1.30767,1.30986,0.00161681
0.01,-0.0468211,0.046876,5.20761e-05,-1.29974,1.30194,0.00158782
0.01,-0.0596767,0.0597538,6.75814e-05,-1.28557,1.28778,0.00155053
0.01,-0.0723284,0.0724277,8.25753e-05,-1.26516,1.26739,0.00149939
0.01,-0.0847149,0.0848365,9.70152e-05,-1.23866,1.24088,0.00144398
0.01,-0.0967768,0.0969207,0.000110769,-1.20618,1.20841,0.00137541
0.01,-0.108456,0.108622,0.000123817,-1.16792,1.17012,0.00130479
0.01,-0.119698,0.119886,0.00013611,-1.12421,1.12638,0.00122927
0.01,-0.130449,0.130658,0.000147503,-1.07512,1.07726,0.00113928
0.01,-0.14066,0.14089,0.000158008,-1.02104,1.02314,0.0010505
0.01,-0.150283,0.150533,0.000167606,-0.962284,0.96431,0.000959828
0.01,-0.159275,0.159545,0.000176232,-0.899259,0.901219,0.000862645
0.01,-0.167598,0.167887,0.000183854,-0.832329,0.834217,0.000762196
0.01,-0.175207,0.175514,0.000190567,-0.7609,0.762651,0.000671231
0.01,-0.182082,0.182404,0.00019625,-0.687422,0.68908,0.000568377
0.01,-0.188188,0.188526,0.000200926,-0.610653,0.612198,0.000467523
0.01,-0.193501,0.193853,0.000204641,-0.531254,0.532654,0.00037149
0.01,-0.198,0.198365,0.000207369,-0.449953,0.451219,0.000272818
0.01,-0.20167,0.202046,0.000209188,-0.367003,0.368105,0.000181953
0.01,-0.204498,0.204883,0.000210059,-0.282771,0.283723,8.71078e-05
0.01,-0.206475,0.206868,0.00021006,-0.197677,0.198456,3.47318e-08
0.01,-0.207598,0.207997,0.000209227,-0.112281,0.112867,-8.32368e-05
0.01,-0.207866,0.208269,0.000207565,-0.026862,0.0272736,-0.000166269
0.01,-0.207285,0.20769,0.000205125,0.058142,-0.0579104,-0.000243999
0.01,-0.205862,0.206268,0.000201965,0.142282,-0.142253,-0.000316004
0.01,-0.203611,0.204015,0.000198112,0.225076,-0.225231,-0.000385215
0.01,-0.200549,0.20095,0.000193613,0.306199,-0.306548,-0.000449991
0.01,-0.196697,0.197093,0.000188518,0.385181,-0.385722,-0.000509494
0.01,-0.192082,0.19247,0.000182864,0.461562,-0.462282,-0.000565409
0.01,-0.186732,0.187111,0.000176703,0.534981,-0.535878,-0.000616064
0.01,-0.180682,0.18105,0.000170077,0.60503,-0.606108,-0.000662582
0.01,-0.173969,0.174325,0.000163029,0.671291,-0.672551,-0.000704851
0.01,-0.166635,0.166977,0.000155607,0.733417,-0.734799,-0.000742155
0.01,-0.158724,0.15905,0.00014784,0.791089,-0.792645,-0.000776707
0.01,-0.150284,0.150594,0.000139781,0.843957,-0.845636,-0.00080594
0.01,-0.141367,0.141658,0.000131462,0.891738,-0.893542,-0.000831857
0.01,-0.132024,0.132297,0.000122918,0.93422,-0.936133,-0.000854428
0.01,-0.122313,0.122565,0.000114199,0.971195,-0.973198,-0.000871868
0.01,-0.112288,0.112519,0.000105331,1.00247,-1.00455,-0.000886809
0.01,-0.102008,0.102218,9.63442e-05,1.028,-1.03015,-0.000898672
0.01,-0.0915311,0.0917194,8.72741e-05,1.04767,-1.04986,-0.000907013
0.01,-0.0809164,0.0810823,7.81481e-05,1.06147,-1.06371,-0.0009126
0.01,-0.0702224,0.070366,6.9017e-05,1.0694,-1.07164,-0.000913109
0.01,-0.0595064,0.0596275,5.9875e-05,1.0716,-1.07385,-0.000914202
0.01,-0.0488254,0.0489242,5.07883e-05,1.0681,-1.07033,-0.000908672
0.01,-0.0382345,0.0383113,4.17849e-05,1.05909,-1.06129,-0.000900332
0.01,-0.0277869,0.0278419,3.28357e-05,1.04476,-1.04694,-0.000894925
0.01,-0.0175336,0.0175674,2.40307e-05,1.02533,-1.02744,-0.0008805
0.01,-0.00752327,0.00753647,1.53381e-05,1.00103,-1.0031,-0.000869258
0.01,0.00219835,-0.00220504,6.83512e-06,0.972163,-0.974151,-0.000850299
0.01,0.0115885,-0.0116144,-1.4789e-06,0.939018,-0.940931,-0.000831402
0.01,0.0206075,-0.0206514,-9.52501e-06,0.901896,-0.903707,-0.00080461
0.01,0.0292197,-0.0292809,-1.73435e-05,0.861222,-0.862945,-0.00078185
0.01,0.0373917,-0.0374689,-2.48404e-05,0.817195,-0.818804,-0.000749685
0.01,0.0450944,-0.0451868,-3.20448e-05,0.770277,-0.771784,-0.000720441
0.01,0.0523028,-0.0524091,-3.8939e-05,0.720831,-0.722236,-0.000689419
0.01,0.0589943,-0.0591136,-4.54562e-05,0.669157,-0.670445,-0.000651725
0.01,0.0651513,-0.0652821,-5.15327e-05,0.615702,-0.616853,-0.000607651
0.01,0.0707585,-0.0708997,-5.72166e-05,0.560719,-0.561759,-0.000568392
0.01,0.0758057,-0.075956,-6.24467e-05,0.504714,-0.505633,-0.000523006
0.01,0.0802847,-0.0804431,-6.72281e-05,0.447902,-0.448705,-0.000478141
0.01,0.0841914,-0.0843566,-7.15147e-05,0.390671,-0.391353,-0.000428656
0.01,0.0875255,-0.0876963,-7.52999e-05,0.333407,-0.333972,-0.000378523
0.01,0.0902896,-0.0904648,-7.854e-05,0.27641,-0.276851,-0.000324011
0.01,0.0924894,-0.0926682,-8.12926e-05,0.219987,-0.220334,-0.000275256
0.01,0.0941343,-0.0943154,-8.34967e-05,0.164488,-0.164719,-0.000220412
0.01,0.0952352,-0.0954175,-8.51547e-05,0.110089,-0.110215,-0.000165804
0.01,0.0958067,-0.0959893,-8.62799e-05,0.0571478,-0.0571826,-0.000112521
0.01,0.0958668,-0.0960488,-8.68605e-05,0.0060112,-0.00594734,-5.80573e-05
