domega_x,domega_y,domega_z,omega_x,omega_y,omega_z,dq_w,dq_x,dq_y,dq_z,q_w,q_x,q_y,q_z,dt
-108.493,108.493,-1.11759e-08,-1.08493,1.08493,-1.11759e-10,0,-0.542465,0.542465,-5.58794e-11,0.999971,-0.00542449,0.00542449,-5.58777e-13,0.01
-1.47382,1.50167,0.00726456,-1.09967,1.09995,7.26454e-05,-0.0059659,-0.549818,0.549957,3.70769e-05,0.999881,-0.0109223,0.0109237,3.70757e-07,0.01
-1.52796,1.60403,0.0169299,-1.11495,1.11599,0.000241944,-0.0121843,-0.557409,0.557926,0.000125858,0.999728,-0.0164959,0.0165025,1.62929e-06,0.01
-1.52801,1.59983,0.016155,-1.13023,1.13199,0.000403495,-0.0186624,-0.564963,0.565836,0.000212479,0.999509,-0.0221448,0.0221601,3.75397e-06,0.01
-1.46411,1.49705,0.00855565,-1.14487,1.14696,0.000489051,-0.0253848,-0.572157,0.573194,0.000258752,0.999222,-0.0278655,0.0278912,6.34128e-06,0.01
-1.32881,1.30216,-0.00311562,-1.15816,1.15998,0.000457895,-0.0323129,-0.578631,0.579535,0.000239272,0.998866,-0.0336507,0.0336854,8.7337e-06,0.01
-1.11567,1.01934,-0.0168171,-1.16931,1.17017,0.000289724,-0.039383,-0.583994,0.584422,0.000138827,0.998438,-0.0394893,0.0395283,1.01216e-05,0.01
-0.821184,0.653026,-0.0310638,-1.17753,1.1767,-2.09144e-05,-0.0465063,-0.587837,0.587438,-4.96767e-05,0.997938,-0.0453661,0.0454011,9.62452e-06,0.01
-0.444271,0.208074,-0.0448083,-1.18197,1.17878,-0.000468997,-0.0535696,-0.58975,0.588192,-0.00032698,0.997368,-0.0512618,0.0512812,6.3545e-06,0.01
0.0140199,-0.309894,-0.0573239,-1.18183,1.17568,-0.00104224,-0.0604366,-0.589329,0.586325,-0.000688735,0.996729,-0.0571531,0.0571425,-5.32837e-07,0.01
0.548813,-0.89324,-0.0681564,-1.17634,1.16675,-0.0017238,-0.0669513,-0.586198,0.581516,-0.00112688,0.996025,-0.0630129,0.0629555,-1.18012e-05,0.01
1.15282,-1.53257,-0.0770098,-1.16481,1.15143,-0.0024939,-0.0729434,-0.58002,0.573496,-0.00163033,0.995262,-0.0688108,0.0686881,-2.81036e-05,0.01
1.81648,-2.21711,-0.0837206,-1.14665,1.12925,-0.0033311,-0.0782341,-0.570509,0.562051,-0.00218577,0.994448,-0.0745135,0.0743062,-4.99597e-05,0.01
2.52817,-2.93495,-0.088214,-1.12137,1.0999,-0.00421324,-0.0826434,-0.557441,0.547028,-0.00277831,0.993591,-0.0800854,0.079774,-7.77403e-05,0.01
3.27493,-3.6732,-0.0904785,-1.08862,1.06317,-0.00511803,-0.0859982,-0.540657,0.528342,-0.00339198,0.992702,-0.0854895,0.085055,-0.000111657,0.01
4.04395,-4.41947,-0.0905183,-1.04818,1.01898,-0.00602321,-0.088139,-0.520065,0.50597,-0.00401002,0.991794,-0.0906877,0.0901123,-0.000151753,0.01
4.82094,-5.16055,-0.0883826,-0.999968,0.967372,-0.00690704,-0.088929,-0.495643,0.479955,-0.00461547,0.990881,-0.0956419,0.0949095,-0.000197903,0.01
5.59388,-5.88545,-0.0841349,-0.944029,0.908518,-0.00774839,-0.0882586,-0.467433,0.450394,-0.00519138,0.989977,-0.100314,0.0994113,-0.000249811,0.01
6.35036,-6.58302,-0.0778473,-0.880526,0.842688,-0.00852686,-0.086052,-0.435532,0.417438,-0.00572111,0.989098,-0.104667,0.103584,-0.000307017,0.01
