p_x,p_y,p_z,dp_x,dp_y,dp_z,ddp_x,ddp_y,ddp_z,dt
0.000000,0.000000,0.001852,0.000000,0.000000,0.090746,0.000000,0.000000,18.884624,0.010000
0.000022,0.000022,0.004582,0.001447,0.001447,0.179545,0.144674,0.144674,18.689850,0.010000
0.000078,0.000078,0.008170,0.004263,0.004263,0.266404,0.281587,0.281587,18.495899,0.010000
0.000183,0.000183,0.012599,0.008371,0.008371,0.351334,0.410852,0.410852,18.303028,0.010000
0.000346,0.000346,0.017848,0.013697,0.013697,0.434349,0.532597,0.532597,18.111492,0.010000
0.000580,0.000580,0.023899,0.020167,0.020167,0.515464,0.646963,0.646963,17.921511,0.010000
0.000895,0.000895,0.030732,0.027708,0.027708,0.594697,0.754104,0.754104,17.733309,0.010000
0.001300,0.001300,0.038330,0.036250,0.036250,0.672068,0.854183,0.854183,17.547073,0.010000
0.001805,0.001805,0.046675,0.045723,0.045723,0.747598,0.947374,0.947374,17.362989,0.010000
0.002417,0.002417,0.055747,0.056062,0.056062,0.821310,1.033858,1.033858,17.181219,0.010000
0.003145,0.003145,0.065529,0.067200,0.067200,0.893229,1.113822,1.113822,17.001892,0.010000
0.003995,0.003995,0.076004,0.079075,0.079075,0.963380,1.187458,1.187458,16.825155,0.010000
0.004974,0.004974,0.087155,0.091624,0.091624,1.031791,1.254963,1.254963,16.651102,0.010000
0.006088,0.006088,0.098963,0.104790,0.104790,1.098490,1.316537,1.316537,16.479820,0.010000
0.007341,0.007341,0.111414,0.118514,0.118514,1.163504,1.372383,1.372383,16.311403,0.010000
0.008740,0.008740,0.124490,0.132741,0.132741,1.226862,1.422701,1.422701,16.145889,0.010000
0.010288,0.010288,0.138175,0.147418,0.147418,1.288596,1.467697,1.467697,15.983339,0.010000
0.011988,0.011988,0.152454,0.162493,0.162493,1.348734,1.507573,1.507573,15.823774,0.010000
0.013844,0.013844,0.167310,0.177919,0.177919,1.407306,1.542532,1.542532,15.667220,0.010000
0.015859,0.015859,0.182729,0.193646,0.193646,1.464342,1.572773,1.572773,15.513675,0.010000
0.018036,0.018036,0.198696,0.209631,0.209631,1.519874,1.598496,1.598496,15.363134,0.010000
0.020375,0.020375,0.215196,0.225830,0.225830,1.573930,1.619895,1.619895,15.215579,0.010000
0.022879,0.022879,0.232215,0.242202,0.242202,1.626540,1.637164,1.637164,15.070988,0.010000
0.025548,0.025548,0.249739,0.258707,0.258707,1.677733,1.650492,1.650492,14.929313,0.010000
0.028384,0.028384,0.267754,0.275307,0.275307,1.727538,1.660065,1.660065,14.790524,0.010000
