q_x,q_y,q_z,dq_x,dq_y,dq_z,omega_x,omega_y,omega_z,domega_x,domega_y,domega_z,w_hat_x,w_hat_y,w_hat_z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.0162738,0.0162738,-1.67636e-12,-1.25896,1.25896,4.9651e-07,-1.08493,1.08493,-1.11759e-10,-17.403,17.4031,4.96622e-05,-0.0349561,0.0350241,3.85192e-05
-0.0218728,0.0218724,1.72851e-07,-1.13282,1.13279,1.30276e-05,-1.09659,1.09656,1.15686e-05,-3.62343,3.62296,0.000145899,-0.00736679,0.00738025,8.87054e-06
-0.027463,0.0274621,3.91443e-07,-1.11221,1.11216,2.4441e-05,-1.10381,1.10376,2.24163e-05,-0.840125,0.839659,0.000202461,-0.00170621,0.00170855,2.7379e-06
-0.0330207,0.0330193,6.5112e-07,-1.10865,1.10857,3.45279e-05,-1.10653,1.10646,3.25107e-05,-0.211402,0.210953,0.000201721,-0.00042899,0.000428855,1.30363e-06
-0.0385223,0.0385202,9.46532e-07,-1.10482,1.10473,4.36557e-05,-1.1047,1.10461,4.1773e-05,-0.0126844,0.0122689,0.000188263,-2.65986e-05,2.57492e-05,8.01898e-07
-0.043944,0.0439411,1.27127e-06,-1.09724,1.09713,5.17832e-05,-1.09825,1.09814,5.00804e-05,0.100786,-0.101167,0.000170285,0.000202343,-0.000203565,4.76997e-07
-0.0492619,0.0492582,1.62111e-06,-1.08518,1.08506,5.89932e-05,-1.08716,1.08704,5.74726e-05,0.19776,-0.198089,0.000152055,0.000397712,-0.000399202,1.88651e-07
-0.0544523,0.0544478,1.98987e-06,-1.0685,1.06836,6.51774e-05,-1.07141,1.07128,6.38548e-05,0.291713,-0.291996,0.000132256,0.000586927,-0.000588685,-9.91422e-08
-0.0594918,0.0594865,2.3719e-06,-1.04715,1.047,7.02939e-05,-1.051,1.05086,6.918e-05,0.385096,-0.385326,0.000111389,0.00077498,-0.000776991,-3.9005e-07
-0.0643573,0.064351,2.76254e-06,-1.02117,1.02101,7.43722e-05,-1.02595,1.02579,7.34662e-05,0.4781,-0.478265,9.05952e-05,0.000962272,-0.000964507,-6.79996e-07
-0.069026,0.0690189,3.15615e-06,-0.990581,0.990418,7.73525e-05,-0.996285,0.996124,7.66625e-05,0.570424,-0.570531,6.9001e-05,0.00114819,-0.00115067,-9.71748e-07
-0.0734759,0.073468,3.54825e-06,-0.955452,0.95529,7.92651e-05,-0.96207,0.961907,7.87893e-05,0.661717,-0.661749,4.7586e-05,0.00133204,-0.00133471,-1.26065e-06
-0.0776856,0.0776769,3.93431e-06,-0.915866,0.915707,8.01039e-05,-0.923382,0.923222,7.98425e-05,0.751537,-0.751502,2.61323e-05,0.00151293,-0.00151581,-1.54655e-06
-0.0816346,0.0816252,4.30992e-06,-0.871931,0.871777,7.98982e-05,-0.880325,0.88017,7.98474e-05,0.839388,-0.839304,5.07944e-06,0.00168985,-0.00169297,-1.8266e-06
-0.0853033,0.0852932,4.67221e-06,-0.823778,0.823633,7.87297e-05,-0.833026,0.83288,7.8877e-05,0.924833,-0.924676,-1.47268e-05,0.00186193,-0.00186522,-2.09644e-06
-0.0886731,0.0886624,5.01794e-06,-0.771562,0.77143,7.66218e-05,-0.781636,0.781502,7.696e-05,1.00738,-1.00714,-3.38138e-05,0.00202818,-0.00203162,-2.35703e-06
-0.0917268,0.0917156,5.3439e-06,-0.715468,0.715351,7.36307e-05,-0.726332,0.726213,7.41498e-05,1.08649,-1.08621,-5.1913e-05,0.0021875,-0.00219116,-2.6061e-06
-0.0944484,0.0944369,5.64851e-06,-0.655698,0.6556,6.98659e-05,-0.667316,0.667214,7.05477e-05,1.16172,-1.16138,-6.81836e-05,0.00233901,-0.00234284,-2.83931e-06
-0.0968232,0.0968114,5.92986e-06,-0.592485,0.592408,6.53834e-05,-0.604811,0.60473,6.62146e-05,1.23256,-1.23217,-8.31248e-05,0.0024817,-0.00248569,-3.05747e-06
-0.0988382,0.0988263,6.18718e-06,-0.526083,0.526029,6.0306e-05,-0.539068,0.53901,6.12654e-05,1.29852,-1.29808,-9.59455e-05,0.00261456,-0.0026187,-3.25633e-06
-0.100482,0.10047,6.42024e-06,-0.456766,0.456736,5.47939e-05,-0.470358,0.470323,5.58529e-05,1.3592,-1.35873,-0.000105902,0.00273678,-0.00274109,-3.43201e-06
-0.101744,0.101732,6.62913e-06,-0.384834,0.38483,4.89395e-05,-0.398975,0.398966,5.00765e-05,1.41408,-1.41357,-0.000113699,0.00284731,-0.00285177,-3.58611e-06
-0.102617,0.102606,6.81371e-06,-0.310602,0.310625,4.27866e-05,-0.32523,0.325248,4.39889e-05,1.46283,-1.4623,-0.000120227,0.00294552,-0.00295011,-3.72143e-06
-0.103094,0.103083,6.97575e-06,-0.234403,0.234455,3.65338e-05,-0.249454,0.2495,3.77699e-05,1.50506,-1.50451,-0.00012361,0.00303061,-0.00303531,-3.82967e-06
-0.10317,0.10316,7.11697e-06,-0.156588,0.156667,3.03434e-05,-0.171992,0.172066,3.15813e-05,1.54046,-1.53991,-0.000123781,0.00310193,-0.00310678,-3.90979e-06
-0.102844,0.102834,7.23885e-06,-0.0775173,0.0776242,2.42768e-05,-0.0932048,0.0933062,2.54979e-05,1.56875,-1.5682,-0.000122115,0.00315893,-0.00316389,-3.96661e-06
-0.102113,0.102104,7.34344e-06,0.00243707,-0.00230324,1.84479e-05,-0.01346,0.0135884,1.96309e-05,1.58971,-1.58916,-0.000118304,0.00320116,-0.00320623,-3.99844e-06
-0.100979,0.100971,7.43445e-06,0.0828909,-0.0827318,1.30827e-05,0.0668601,-0.0667061,1.41897e-05,1.60309,-1.60257,-0.000110704,0.00322814,-0.00323331,-3.9982e-06
-0.0994444,0.099438,7.51321e-06,0.163464,-0.16328,8.09729e-06,0.147375,-0.147197,9.12833e-06,1.60887,-1.60837,-0.000103104,0.00323983,-0.00324505,-3.98081e-06
-0.0975142,0.097509,7.58553e-06,0.243766,-0.243562,3.92288e-06,0.227697,-0.227497,4.81816e-06,1.60692,-1.60648,-8.95273e-05,0.00323593,-0.00324129,-3.92237e-06
