p_x,p_y,p_z,dp_x_prime,dp_y_prime,dp_z_prime,dp_x,dp_y,dp_z,ddp_x,ddp_y,ddp_z,w_hat_x,w_hat_y,w_hat_z
0,0,0,0,0,-0.0981,0,0,0,0,0,-9.81,0,0,0
0,0,-0.000981,0.0544175,0.0544175,0.166061,0,0,-0.0981,5.44175,5.44175,26.4161,0,0,1.88287
0.000544175,0.000544175,0.000679607,0.0910839,0.0910839,0.415881,0.0544175,0.0544175,0.166061,3.66663,3.66663,24.982,-0.741985,-0.741985,1.79867
0.00145501,0.00145501,0.00483842,0.122189,0.122189,0.651888,0.0910839,0.0910839,0.415881,3.11052,3.11052,23.6007,-0.981587,-0.981587,1.71268
0.00267691,0.00267691,0.0113573,0.149405,0.149405,0.874568,0.122189,0.122189,0.651888,2.72162,2.72162,22.268,-1.14519,-1.14519,1.62417
0.00417096,0.00417096,0.020103,0.173595,0.173595,1.08436,0.149405,0.149405,0.874568,2.41901,2.41902,20.9797,-1.26596,-1.26595,1.53223
0.00590691,0.00590691,0.0309466,0.19531,0.19531,1.28167,0.173595,0.173595,1.08436,2.17142,2.17143,19.7306,-1.35698,-1.35697,1.43559
0.00786001,0.00786001,0.0437633,0.214943,0.214943,1.46681,0.19531,0.19531,1.28167,1.96331,1.96333,18.5145,-1.42496,-1.42495,1.33247
0.0100094,0.0100094,0.0584315,0.232804,0.232804,1.64004,0.214943,0.214943,1.46681,1.78612,1.78614,17.3227,-1.47379,-1.47378,1.22012
0.0123375,0.0123375,0.0748319,0.249153,0.249154,1.80146,0.232804,0.232804,1.64004,1.63496,1.63499,16.1414,-1.50587,-1.50585,1.09371
0.014829,0.014829,0.0928464,0.264226,0.264227,1.95089,0.249153,0.249154,1.80146,1.50722,1.50725,14.9435,-1.52268,-1.52265,0.942854
0.0174713,0.0174713,0.112355,0.278244,0.278246,2.08725,0.264226,0.264227,1.95089,1.40186,1.40191,13.6359,-1.52505,-1.52501,0.730638
0.0202537,0.0202538,0.133228,0.291436,0.291438,2.2032,0.278244,0.278246,2.08725,1.31917,1.31924,11.5946,-1.51327,-1.51322,0.20501
0.0231681,0.0231681,0.15526,0.304044,0.304047,2.30991,0.291436,0.291438,2.2032,1.26076,1.26085,10.6713,-1.48712,-1.48705,0.116494
0.0262085,0.0262086,0.178359,0.316342,0.316346,2.40858,0.304044,0.304047,2.30991,1.22983,1.22995,9.86691,-1.44568,-1.4456,0.0611692
0.0293719,0.0293721,0.202445,0.328663,0.328669,2.49993,0.316342,0.316346,2.40858,1.23208,1.23224,9.13569,-1.38705,-1.38694,0.0211278
0.0326585,0.0326588,0.227444,0.341442,0.34145,2.58453,0.328663,0.328669,2.49993,1.27791,1.27814,8.45998,-1.3074,-1.30725,-0.0101416
0.036073,0.0360733,0.253289,0.355334,0.355346,2.66283,0.341442,0.34145,2.58453,1.38921,1.38957,7.83008,-1.19824,-1.19802,-0.0359522
0.0396263,0.0396267,0.279918,0.371668,0.371686,2.73523,0.355334,0.355346,2.66283,1.63337,1.63405,7.23962,-1.03263,-1.03227,-0.0582576
0.043343,0.0433436,0.30727,0.398906,0.398934,2.80207,0.371668,0.371686,2.73523,2.72389,2.72479,6.68416,-0.521953,-0.521499,-0.078253
0.047332,0.0473329,0.335291,0.427489,0.42752,2.86368,0.398906,0.398934,2.80207,2.85825,2.85861,6.1605,-0.396575,-0.396325,-0.09663
0.0516069,0.0516081,0.363927,0.45644,0.456474,2.92034,0.427489,0.42752,2.86368,2.89509,2.89537,5.66643,-0.309061,-0.308833,-0.113693
0.0561713,0.0561729,0.393131,0.485427,0.485464,2.97235,0.45644,0.456474,2.92034,2.89869,2.89894,5.20058,-0.23369,-0.23346,-0.129419
0.0610256,0.0610275,0.422854,0.514266,0.514305,3.01997,0.485427,0.485464,2.97235,2.88391,2.88415,4.76234,-0.164736,-0.164499,-0.143472
0.0661683,0.0661706,0.453054,0.542833,0.542874,3.06349,0.514266,0.514305,3.01997,2.85666,2.85689,4.35207,-0.100086,-0.0998408,-0.155154
0.0715966,0.0715993,0.483689,0.571032,0.571075,3.10321,0.542833,0.542874,3.06349,2.8199,2.82012,3.97161,-0.0388053,-0.0385506,-0.163164
0.0773069,0.07731,0.514721,0.598785,0.598831,3.13949,0.571032,0.571075,3.10321,2.77535,2.77556,3.62829,0.0195531,0.0198175,-0.164008
0.0832947,0.0832984,0.546116,0.626026,0.626074,3.17245,0.598785,0.598831,3.13949,2.72413,2.72433,3.29641,0.0752069,0.0754802,-0.167569
0.089555,0.0895591,0.57784,0.652697,0.652746,3.2024,0.626026,0.626074,3.17245,2.66703,2.66723,2.99453,0.128254,0.128536,-0.165828
0.096082,0.0960866,0.609864,0.678743,0.678795,3.22735,0.652697,0.652746,3.2024,2.60466,2.60485,2.49489,0.178726,0.179016,-0.25055
0.102869,0.102875,0.642138,0.704118,0.704171,3.25282,0.678743,0.678795,3.22735,2.53746,2.53764,2.54666,0.22661,0.226906,-0.11785
0.109911,0.109916,0.674666,0.728776,0.728831,3.2717,0.704118,0.704171,3.25282,2.46579,2.46597,1.88891,0.271865,0.272167,-0.277965
0.117198,0.117205,0.707383,0.752675,0.752732,3.29203,0.728776,0.728831,3.2717,2.38994,2.3901,2.03272,0.314427,0.314734,-0.118481
0.124725,0.124732,0.740303,0.775776,0.775835,3.30588,0.752675,0.752732,3.29203,2.31009,2.31024,1.38442,0.354208,0.354519,-0.284437
0.132483,0.13249,0.773362,0.798039,0.7981,3.32155,0.775776,0.775835,3.30588,2.22635,2.22649,1.56726,0.391101,0.391415,-0.118042
0.140463,0.140471,0.806578,0.819427,0.819489,3.33102,0.798039,0.7981,3.32155,2.13877,2.1389,0.94739,0.424974,0.42529,-0.280645
0.148658,0.148666,0.839888,0.8399,0.839963,3.34261,0.819427,0.819489,3.33102,2.0473,2.04742,1.15894,0.45567,0.45599,-0.1101
0.157057,0.157066,0.873314,0.859418,0.859482,3.34828,0.8399,0.839963,3.34261,1.95178,1.9519,0.56694,0.482999,0.48332,-0.268274
0.165651,0.165661,0.906797,0.877937,0.878002,3.35623,0.859418,0.859482,3.34828,1.85195,1.85207,0.794477,0.50673,0.507053,-0.0975335
0.17443,0.174441,0.940359,0.895411,0.895477,3.35873,0.877937,0.878002,3.35623,1.74738,1.7475,0.250769,0.526573,0.526898,-0.2419
0.183384,0.183395,0.973946,0.911786,0.911853,3.36324,0.895411,0.895477,3.35873,1.63744,1.63755,0.45018,0.542165,0.542493,-0.0878288
0.192502,0.192514,1.00758,0.926997,0.927066,3.36476,0.911786,0.911853,3.36324,1.52118,1.5213,0.151972,0.553024,0.553355,-0.137624
0.201772,0.201784,1.04123,0.940969,0.941039,3.3658,0.926997,0.927066,3.36476,1.39718,1.3973,0.104686,0.558479,0.558814,-0.0879526
0.211182,0.211195,1.07488,0.953601,0.953672,3.36308,0.940969,0.941039,3.3658,1.26313,1.26327,-0.272081,0.557511,0.557855,-0.173733
0.220718,0.220732,1.10852,0.964749,0.964822,3.36223,0.953601,0.953672,3.36308,1.11484,1.11502,-0.0855853,0.548348,0.548708,-0.0332802
0.230365,0.23038,1.14214,0.974173,0.974249,3.35642,0.964749,0.964822,3.36223,0.94243,0.942717,-0.580589,0.526917,0.527318,-0.170626
0.240107,0.240122,1.1757,0.980958,0.981052,3.35324,0.974173,0.974249,3.35642,0.678477,0.680351,-0.317598,0.465851,0.466894,-0.00269486
0.249917,0.249933,1.20923,0.986396,0.986416,3.34581,0.980958,0.981052,3.35324,0.543776,0.53638,-0.743339,0.45452,0.451807,-0.115358
0.25978,0.259797,1.24269,0.989618,0.989886,3.33957,0.986396,0.986416,3.34581,0.322175,0.34692,-0.6242,0.40534,0.415643,-0.00896539
0.269677,0.269696,1.27609,0.994043,0.994019,3.3319,0.989618,0.989886,3.33957,0.442537,0.41335,-0.766456,0.49197,0.480426,-0.0100392
0.279617,0.279636,1.30941,0.994358,0.994494,3.32248,0.994043,0.994019,3.3319,0.0314819,0.0475429,-0.942225,0.360664,0.367444,-0.0262832
0.289561,0.289581,1.34263,0.997174,0.997212,3.3134,0.994358,0.994494,3.32248,0.28161,0.271742,-0.907818,0.494416,0.490692,0.0409862
0.299532,0.299553,1.37577,0.995019,0.995084,3.30038,0.997174,0.997212,3.3134,-0.215485,-0.212798,-1.30206,0.322817,0.324175,-0.0669758
